stage,arm,stopping_allowance,n,solves,mean_solves_per_40,all_attempt_cost,all_attempt_cost_lower,all_attempt_cost_upper,invoice_exact,mean_cost_per_40,cost_per_solve,baseline,saving_vs_same_cap,saving_vs_same_cap_interval,solve_difference_vs_same_cap,saving_vs_ordinary_ten_cents,saving_vs_ordinary_ten_cents_interval,solve_difference_vs_ordinary_ten_cents,dominated_by_a_matched_nonace_budget,preparation_cost,cost_including_preparation_at_measured_n,cost_including_preparation_interval,break_even_problems_at_same_cap,problems_for_ten_percent_total_saving_at_same_cap
train,A2,0.09,80,61,30.5,1.7093384600000001,1.7093384600000001,1.7093384600000001,True,0.8546692300000001,0.028021941967213117,A0,-0.003490787219019298,"[-0.003490787219019298, -0.003490787219019298]",-0.5,0.003183332643941661,"[0.003183332643941661, 0.003183332643941661]",-1.0,True,21.16027059,22.86960905,"[22.86960905, 22.86960905]",,
train,A2,0.1,80,61,30.5,1.7093384600000001,1.7093384600000001,1.7093384600000001,True,0.8546692300000001,0.028021941967213117,A0,0.003183332643941661,"[0.003183332643941661, 0.003183332643941661]",-1.0,0.003183332643941661,"[0.003183332643941661, 0.003183332643941661]",-1.0,True,21.16027059,22.86960905,"[22.86960905, 22.86960905]",310111,
train,B0,0.05,80,59,29.5,1.5380061,1.5380061,1.5380061,True,0.76900305,0.0260679,B0,0.0,"[0.0, 0.0]",0.0,0.15081870414542708,"[0.15081870414542708, 0.15081870414542708]",-1.0,False,0.0,1.5380061,"[1.5380061, 1.5380061]",,
train,B0,0.075,80,61,30.5,1.73951207,1.73951207,1.73951207,True,0.869756035,0.02851659131147541,B0,0.0,"[0.0, 0.0]",0.0,0.03956095248434288,"[0.03956095248434288, 0.03956095248434288]",0.0,False,0.0,1.73951207,"[1.73951207, 1.73951207]",,
train,B0,0.09,80,61,30.5,1.80228301,1.80228301,1.80228301,True,0.901141505,0.0295456231147541,B0,0.0,"[0.0, 0.0]",0.0,0.004903152251164555,"[0.004903152251164555, 0.004903152251164555]",0.0,True,0.0,1.80228301,"[1.80228301, 1.80228301]",,
train,B0,0.1,80,61,30.5,1.81116342,1.81116342,1.81116342,True,0.90558171,0.029691203606557377,B0,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,True,0.0,1.81116342,"[1.81116342, 1.81116342]",,
train,B1,0.05,80,64,32.0,1.53202329,1.30963057,1.53202329,False,0.766011645,0.02393786390625,B0,0.0038899780696579622,"[0.0038899780696579622, 0.1484880521605214]",2.5,0.15412200076346505,"[0.15412200076346505, 0.27691198069802003]",1.5,False,27.57797978,29.11000307,"[28.88761035, 29.11000307]",368763,
train,B1,0.075,80,64,32.0,1.70653473,1.48414201,1.70653473,False,0.853267365,0.02666460515625,B0,0.018957810393347763,"[0.018957810393347763, 0.1468055694491387]",1.5,0.057768773841512355,"[0.057768773841512355, 0.18055875377606734]",1.5,False,27.57797978,29.28451451,"[29.06212179, 29.28451451]",66902,
train,B1,0.09,80,65,32.5,1.82759158,1.60519886,1.82759158,False,0.91379579,0.028116793538461537,B0,-0.01404250601019652,"[-0.01404250601019652, 0.10935249841810357]",2.0,-0.009070501214075932,"[-0.009070501214075932, 0.11371947872047905]",2.0,False,27.57797978,29.40557136,"[29.18317864, 29.40557136]",,
train,B1,0.1,80,65,32.5,1.87338304,1.65099032,1.87338304,False,0.93669152,0.02882127753846154,B0,-0.03435339920900127,"[-0.03435339920900127, 0.08843658072555372]",2.0,-0.03435339920900127,"[-0.03435339920900127, 0.08843658072555372]",2.0,False,27.57797978,29.45136282,"[29.228970099999998, 29.45136282]",,
train,B2,0.05,80,64,32.0,1.4189427,1.4189427,1.4189427,True,0.70947135,0.0221709796875,B0,0.0774141272911727,"[0.0774141272911727, 0.0774141272911727]",2.5,0.216557333075996,"[0.216557333075996, 0.216557333075996]",1.5,False,44.71989878,46.13884148,"[46.13884148, 46.13884148]",30048,
train,B2,0.075,80,66,33.0,1.61831669,1.61831669,1.61831669,True,0.809158345,0.024519949848484848,B0,0.06967205464691029,"[0.06967205464691029, 0.06967205464691029]",2.5,0.1064767142878803,"[0.1064767142878803, 0.1064767142878803]",2.5,False,44.71989878,46.33821547,"[46.33821547, 46.33821547]",29520,
train,B2,0.09,80,66,33.0,1.6813156999999999,1.6813156999999999,1.6813156999999999,True,0.8406578499999999,0.0254744803030303,B0,0.0671189315600329,"[0.0671189315600329, 0.0671189315600329]",2.5,0.07169298947082314,"[0.07169298947082314, 0.07169298947082314]",2.5,False,44.71989878,46.40121448,"[46.40121448, 46.40121448]",29575,
